Fecha,Local,Visitante,Goles_L,Goles_V,Corners_L,Corners_V,Amarillas_L,Amarillas_V,Rojas_L,Rojas_V,xG_L,xG_V
2021-07-23,Club Queretaro,Club America,0,0,0,8,2,2,0,0,0.0,0.0
2021-07-24,Necaxa,Santos Laguna,0,3,6,7,2,2,0,0,0.0,3.0
2021-07-24,FC Juarez,Toluca,1,3,9,8,1,1,0,0,1.0,3.0
2021-07-24,CF Pachuca,Leon,4,0,3,3,1,1,0,0,4.0,0.0
2021-07-25,Guadalajara Chivas,Atletico San Luis,1,2,7,3,0,0,0,0,1.0,2.0
2021-07-25,U.N.A.M. - Pumas,Atlas,0,0,2,7,0,1,0,0,0.0,0.0
2021-07-26,Monterrey,Puebla,1,1,9,4,3,2,1,2,1.0,1.0
2021-07-26,Club Tijuana,Tigres UANL,1,2,3,1,1,1,0,0,1.0,2.0
2021-07-27,Cruz Azul,Mazatlán,0,2,4,3,1,2,0,0,0.0,2.0
2021-07-31,Mazatlán,CF Pachuca,2,1,4,6,1,1,0,0,2.0,1.0
2021-07-31,Puebla,Guadalajara Chivas,0,2,4,8,0,3,0,0,0.0,2.0
2021-07-31,Leon,Club Tijuana,2,1,4,4,2,1,0,0,2.0,1.0
2021-08-01,Club America,Necaxa,2,1,3,4,0,0,0,0,2.0,1.0
2021-08-01,Monterrey,U.N.A.M. - Pumas,2,0,1,3,0,3,0,0,2.0,0.0
2021-08-01,Atlas,FC Juarez,2,0,6,3,2,2,0,0,2.0,0.0
2021-08-01,Toluca,Tigres UANL,3,1,6,8,1,3,0,1,3.0,1.0
2021-08-01,Santos Laguna,Cruz Azul,1,1,5,0,2,6,0,0,1.0,1.0
2021-08-03,Atletico San Luis,Club Queretaro,1,1,5,6,1,2,0,1,1.0,1.0
2021-08-06,Club Queretaro,Leon,0,1,4,4,3,1,0,0,0.0,1.0
2021-08-07,Mazatlán,Monterrey,1,1,2,4,3,4,0,2,1.0,1.0
2021-08-07,Necaxa,Cruz Azul,1,2,4,6,0,3,0,0,1.0,2.0
2021-08-07,Club Tijuana,Toluca,0,2,7,3,3,3,0,0,0.0,2.0
2021-08-07,Guadalajara Chivas,FC Juarez,2,2,8,3,0,2,0,0,2.0,2.0
