Fixture_ID,Temporada,Fecha,Jornada,Local,Visitante,Goles_L,Goles_V,Corners_L,Corners_V,Amarillas_L,Amarillas_V,Rojas_L,Rojas_V,xG_L,xG_V
721722.0,2021.0,2021-07-23,Apertura - 1,Club Queretaro,Club America,0,0,0.0,8.0,2.0,2.0,0.0,0.0,,
721723.0,2021.0,2021-07-24,Apertura - 1,Necaxa,Santos Laguna,0,3,6.0,7.0,2.0,2.0,0.0,0.0,,
721724.0,2021.0,2021-07-24,Apertura - 1,FC Juarez,Toluca,1,3,9.0,8.0,1.0,1.0,0.0,0.0,,
721725.0,2021.0,2021-07-24,Apertura - 1,CF Pachuca,Leon,4,0,3.0,3.0,1.0,1.0,0.0,0.0,,
721726.0,2021.0,2021-07-25,Apertura - 1,Guadalajara Chivas,Atletico San Luis,1,2,7.0,3.0,0.0,0.0,0.0,0.0,,
721727.0,2021.0,2021-07-25,Apertura - 1,U.N.A.M. - Pumas,Atlas,0,0,2.0,7.0,0.0,1.0,0.0,0.0,,
721728.0,2021.0,2021-07-26,Apertura - 1,Monterrey,Puebla,1,1,9.0,4.0,3.0,2.0,1.0,2.0,,
721729.0,2021.0,2021-07-26,Apertura - 1,Club Tijuana,Tigres UANL,1,2,3.0,1.0,1.0,1.0,0.0,0.0,,
721730.0,2021.0,2021-07-27,Apertura - 1,Cruz Azul,Mazatlán,0,2,4.0,3.0,1.0,2.0,0.0,0.0,,
721731.0,2021.0,2021-07-31,Apertura - 2,Mazatlán,CF Pachuca,2,1,4.0,6.0,1.0,1.0,0.0,0.0,,
721732.0,2021.0,2021-07-31,Apertura - 2,Puebla,Guadalajara Chivas,0,2,4.0,8.0,0.0,3.0,0.0,0.0,,
721737.0,2021.0,2021-07-31,Apertura - 2,Leon,Club Tijuana,2,1,4.0,4.0,2.0,1.0,0.0,0.0,,
721733.0,2021.0,2021-08-01,Apertura - 2,Club America,Necaxa,2,1,3.0,4.0,0.0,0.0,0.0,0.0,,
